,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,% students with ATAR
0,ALBANY SENIOR HIGH SCHOOL,1 CAMPBELL ROAD,ALBANY,WA,6330,1 CAMPBELL ROAD,ALBANY,WA,6330,-35.02044765,117.8917733,08 9841 0444,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,977,88,1010.0,101.0,72.8,43.09
1,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,-31.66032819,115.7101785,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,300,85,1035.0,,,
2,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.867023,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1354,99,1154.0,21.0,86.35,82.19
3,ALTA-1,12 WINTON ROAD,JOONDALUP,WA,6027,PO BOX 301,JOONDALUP DC,WA,6919,-31.78537164,115.8133126,08 9403 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,1039,,,,,
4,APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1665,98,1111.0,34.0,84.3,61.97
5,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1312,96,1023.0,23.0,85.85,62.07
6,ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,-31.92706854,115.8431695,08 9201 5200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,710,83,991.0,106.0,71.95,44.34
7,ARMADALE SENIOR HIGH SCHOOL,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,714,74,931.0,,,
8,ASHDALE SECONDARY COLLEGE,75 WESTPORT PARADE,DARCH,WA,6065,75 WESTPORT PARADE,DARCH,WA,6065,-31.81162275,115.8414952,08 9302 7100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1730,,,75.0,78.65,38.53
9,ATLANTIS BEACH BAPTIST COLLEGE,BREAKWATER DRIVE,TWO ROCKS,WA,6037,BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,181,89,988.0,,,
10,ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.8641462,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1418,83,1012.0,129.0,64.05,28.82
11,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,-32.59324476,115.8065154,08 9537 7177,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,637,81,1015.0,,,
12,AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,26 BREWSTER ROAD,ALBANY,WA,6330,LOCKED BAG 5,ALBANY,WA,6330,-34.99550802,117.9227056,08 9892 5100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y12,653,91,1034.0,,,
13,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,08 9362 5340,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1729,93,985.0,102.0,72.55,63.36
14,AUSTRALIAN ISLAMIC COLLEGE - NORTH OF THE RIVER,81 CLEVELAND STREET,DIANELLA,WA,6059,81 CLEVELAND STREET,DIANELLA,WA,6059,-31.90293601,115.8744467,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,792,,,,,
15,AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.7284365,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1424,82,977.0,76.0,78.4,23.81
16,BALCATTA SENIOR HIGH SCHOOL,31 POINCAIRE STREET,BALCATTA,WA,6021,31 POINCAIRE STREET,BALCATTA,WA,6021,-31.87551716,115.8122429,08 9345 8200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,686,,,135.0,60.4,26.32
17,BALDIVIS SECONDARY COLLEGE,STILLWATER DRIVE,BALDIVIS,WA,6171,PO BOX 4119,BALDIVIS,WA,6171,-32.334099,115.828418,08 9523 3600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1657,79,987.0,134.0,60.45,20.0
18,BALGA SENIOR HIGH SCHOOL,2 MARKHAM WAY,BALGA,WA,6061,2 MARKHAM WAY,BALGA,WA,6061,-31.85134146,115.8465042,08 9247 0222,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,571,74,881.0,,,
19,BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1216,85,977.0,133.0,62.5,36.2
20,BELMONT CITY COLLEGE,106 FISHER STREET,BELMONT,WA,6104,106 FISHER STREET,BELMONT,WA,6104,-31.95889136,115.9344344,08 9473 9800,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,908,82,968.0,57.0,80.85,26.8
21,BELRIDGE SECONDARY COLLEGE,17 GWENDOLINE DRIVE,BELDON,WA,6027,17 GWENDOLINE DRIVE,BELDON,WA,6027,-31.77038385,115.7631759,08 9408 8000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1015,86,1015.0,102.0,72.55,30.47
22,BETHEL CHRISTIAN SCHOOL,20 BETHEL WAY,ALBANY,WA,6330,20 BETHEL WAY,ALBANY,WA,6330,-35.00481744,117.881185,08 9842 2100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,437,84,1016.0,,,
23,BEVERLEY DISTRICT HIGH SCHOOL,20 JOHN STREET,BEVERLEY,WA,6304,20 JOHN STREET,BEVERLEY,WA,6304,-32.10031422,116.9276944,08 9646 1165,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,145,78,966.0,,,
24,BODDINGTON DISTRICT HIGH SCHOOL,25 POLLARD STREET,BODDINGTON,WA,6390,25 POLLARD STREET,BODDINGTON,WA,6390,-32.80157748,116.467088,08 9884 2900,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,242,76,966.0,,,
25,BOLD PARK COMMUNITY SCHOOL,61-63 POWIS STREET,WEMBLEY,WA,6014,61-63 POWIS STREET,WEMBLEY,WA,6014,-31.92384064,115.8231847,08 9387 5050,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,213,80,1116.0,,,
26,BOYUP BROOK DISTRICT HIGH SCHOOL,77 BARRON STREET,BOYUP BROOK,WA,6244,77 BARRON STREET,BOYUP BROOK,WA,6244,-33.83634699,116.3913376,08 9765 0000,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,174,90,1002.0,,,
27,BRIDGETOWN HIGH SCHOOL,58 STEERE STREET,BRIDGETOWN,WA,6255,PO BOX 600,BRIDGETOWN,WA,6255,-33.95993882,116.1420907,08 9761 0100,SOUTH WEST,High Schools,SECONDARY SCHOOLS,Y07,Y10,200,82,989.0,,,
28,BROOKTON DISTRICT HIGH SCHOOL,20 TILLER STREET,BROOKTON,WA,6306,20 TILLER STREET,BROOKTON,WA,6306,-32.37207392,117.0086817,08 9642 5000,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,136,Not Rated,899.0,,,
29,BROOME SENIOR HIGH SCHOOL,FREDERICK STREET,BROOME,WA,6725,PO BOX 1316,BROOME,WA,6725,-17.95614273,122.2323264,08 9195 3100,KIMBERLEY,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,828,78,932.0,90.0,75.45,38.3
30,BRUCE ROCK DISTRICT HIGH SCHOOL,37 DUNSTALL STREET,BRUCE ROCK,WA,6418,37 DUNSTALL STREET,BRUCE ROCK,WA,6418,-31.87363474,118.1476627,08 9061 1237,WHEATBELT,Primary Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,118,89,952.0,,,
31,BULLSBROOK COLLEGE,CHITTERING ROAD,BULLSBROOK,WA,6084,CHITTERING ROAD,BULLSBROOK,WA,6084,-31.66171848,116.033179,08 9501 7600,NORTH METROPOLITAN,K-12 SCHOOLS,K-12 SCHOOLS,KIN,Y12,961,80,979.0,,,
32,BUNBURY CATHEDRAL GRAMMAR SCHOOL,5 ALLEN ROAD,GELORUP,WA,6230,5 ALLEN ROAD,GELORUP,WA,6230,-33.404668,115.63864,08 9722 6000,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,655,97,1081.0,29.0,84.8,81.33
33,BUNBURY CATHOLIC COLLEGE,LOT 4 RODSTED STREET,BUNBURY,WA,6230,LOT 4 RODSTED STREET,BUNBURY,WA,6230,-33.34342203,115.6614239,08 9721 0000,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,826,89,1035.0,71.0,78.95,36.56
34,BUNBURY REGIONAL COMMUNITY COLLEGE,16 VICTORIA STREET,BUNBURY,WA,6230,16 VICTORIA STREET,BUNBURY,WA,6230,-33.32065,115.63714,0459 915 803 ,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y09,Y12,134,Not Rated,,,,
35,BUNBURY SENIOR HIGH SCHOOL,10-44 HAIG CRESCENT,BUNBURY,WA,6230,10-44 HAIG CRESCENT,BUNBURY,WA,6230,-33.32746917,115.6326077,08 9781 2500,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,979,88,1019.0,79.0,77.3,37.38
36,BUSSELTON SENIOR HIGH SCHOOL,136-156 BUSSELL HIGHWAY,BUSSELTON,WA,6280,136-156 BUSSELL HIGHWAY,BUSSELTON,WA,6280,-33.6575772,115.3250971,08 9751 8900,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,683,80,947.0,,,
37,BUTLER COLLEGE,15 MCCORMACK BOULEVARD,BUTLER,WA,6036,PO BOX 317,QUINNS ROCKS,WA,6030,-31.65166367,115.7087008,08 9561 4200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1633,79,993.0,39.0,83.7,21.18
38,BYFORD SECONDARY COLLEGE,57 ABERNETHY ROAD,BYFORD,WA,6122,57 ABERNETHY ROAD,BYFORD,WA,6122,-32.22343162,116.0018793,08 9550 6100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1444,82,989.0,116.0,68.0,21.57
39,CANNING COLLEGE,MARQUIS STREET,BENTLEY,WA,6102,PO BOX 1148,BENTLEY DC,WA,6983,-32.00942925,115.8971202,08 9278 3500,SOUTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y10,Y12,212,Not Rated,,,,
40,CANNING VALE COLLEGE,26 DUMBARTON ROAD,CANNING VALE,WA,6155,26 DUMBARTON ROAD,CANNING VALE,WA,6155,-32.08291838,115.9227838,08 9334 9000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1459,91,1030.0,68.0,79.8,39.61
41,CANNINGTON COMMUNITY COLLEGE,147 WHARF STREET,CANNINGTON,WA,6107,147 WHARF STREET,CANNINGTON,WA,6107,-32.013947,115.9370814,08 9351 2400,SOUTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,757,75,959.0,,,
42,CAPE NATURALISTE COLLEGE,30 YEBBLE DRIVE,VASSE,WA,6280,30 YEBBLE DRIVE,VASSE,WA,6280,-33.67693545,115.2438891,08 9746 3500,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,877,85,1008.0,66.0,79.95,31.82
43,CAREY BAPTIST COLLEGE,51 WRIGHT ROAD,HARRISDALE,WA,6112,51 WRIGHT ROAD,HARRISDALE,WA,6112,-32.11159158,115.9355423,08 9394 9111,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1429,94,1097.0,62.0,80.3,60.53
44,CARINE SENIOR HIGH SCHOOL,51 EVERINGHAM STREET,CARINE,WA,6020,51 EVERINGHAM STREET,CARINE,WA,6020,-31.85299735,115.775848,08 9243 9100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2015,94,1088.0,47.0,82.35,43.15
45,CARMEL ADVENTIST COLLEGE,210 GLENISLA ROAD,CARMEL,WA,6076,210 GLENISLA ROAD,CARMEL,WA,6076,-32.01473096,116.0940371,08 9293 5333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,206,83,,,,
46,CARMEL SCHOOL,123 CRESSWELL ROAD,DIANELLA,WA,6059,123 CRESSWELL ROAD,DIANELLA,WA,6059,-31.89910743,115.8620749,08 9276 1644,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,476,97,1137.0,13.0,88.85,96.97
47,CARNAMAH DISTRICT HIGH SCHOOL,48 MCPHERSON STREET,CARNAMAH,WA,6517,48 MCPHERSON STREET,CARNAMAH,WA,6517,-29.68727976,115.893099,08 9951 1266,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,86,77,958.0,,,
48,CARNARVON COMMUNITY COLLEGE,23-27 MARMION STREET,EAST CARNARVON,WA,6701,PO BOX 648,CARNARVON,WA,6701,-24.867098,113.676415,08 9941 6000,MIDWEST,K-12 SCHOOLS,K-12 SCHOOLS,KIN,Y12,383,73,763.0,,,
49,CECIL ANDREWS COLLEGE,39 SEVILLE DRIVE,ARMADALE,WA,6112,PO BOX 295,ARMADALE,WA,6992,-32.14118727,115.9918834,08 9234 3400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,788,74,898.0,139.0,49.85,25.97
50,CENTRAL MIDLANDS SENIOR HIGH SCHOOL,RANFURLY STREET,MOORA,WA,6510,RANFURLY STREET,MOORA,WA,6510,-30.64115241,116.0152142,08 9653 9200,WHEATBELT,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,182,83,956.0,,,
51,CHAMPION BAY SENIOR HIGH SCHOOL,HIGHBURY STREET,GERALDTON,WA,6530,PMB 102,GERALDTON,WA,6530,-28.79463546,114.63296,08 9965 8300,MIDWEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y11,766,,,,,
52,CHILD SIDE SCHOOL,32 ARMSTRONG ROAD,BOYANUP,WA,6237,32 ARMSTRONG ROAD,BOYANUP,WA,6237,-33.48598843,115.7411328,08 9731 5232,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,74,Not Rated,1083.0,,,
53,CHISHOLM CATHOLIC COLLEGE,1104 BEAUFORT STREET,BEDFORD,WA,6052,1104 BEAUFORT STREET,BEDFORD,WA,6052,-31.91151257,115.9005647,08 9208 2500,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1675,96,1070.0,29.0,84.8,53.85
54,CHRIST CHURCH GRAMMAR SCHOOL,QUEENSLEA DRIVE,CLAREMONT,WA,6010,QUEENSLEA DRIVE,CLAREMONT,WA,6010,-31.98546117,115.7769868,08 9442 1555,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1688,100,1180.0,3.0,92.5,92.11
55,CHRIST THE KING CATHOLIC SCHOOL,LOMBADINA,LOMBADINA,WA,6725,LOMBADINA,LOMBADINA,WA,6725,-16.516088,122.892963,08 9192 4934,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,48,,,,,
56,CHRISTIAN ABORIGINAL PARENT-DIRECTED SCHOOL,85-93 LINDSAY STREET,COOLGARDIE,WA,6429,85-93 LINDSAY STREET,COOLGARDIE,WA,6429,-30.95228,121.16131,08 9093 8000,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,100,73,723.0,,,
57,CHRISTIAN BROTHERS' COLLEGE,51 ELLEN STREET,FREMANTLE,WA,6160,51 ELLEN STREET,FREMANTLE,WA,6160,-32.05178739,115.7533646,08 9336 2700,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,826,94,1089.0,49.0,82.2,58.93
58,CHRISTMAS ISLAND DISTRICT HIGH SCHOOL,MURRAY ROAD,CHRISTMAS ISLAND,WA,6798,PO BOX 866,CHRISTMAS ISLAND,WA,6798,-10.4352,105.6686,08 9164 8546,NORTH METROPOLITAN,OFFSHORE & MIGRATORY,DISTRICT HIGH SCHOOLS,KIN,Y12,248,94,1015.0,,,
59,CHURCHLANDS SENIOR HIGH SCHOOL,20 LUCCA STREET,CHURCHLANDS,WA,6018,20 LUCCA STREET,CHURCHLANDS,WA,6018,-31.91728978,115.7899902,08 9441 1700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2797,98,1118.0,22.0,85.9,63.37
60,CLARKSON COMMUNITY HIGH SCHOOL,16 WALYUNGA BOULEVARD,CLARKSON,WA,6030,16 WALYUNGA BOULEVARD,CLARKSON,WA,6030,-31.67744562,115.7267272,08 6206 5000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,325,74,921.0,,,
61,CLONTARF ABORIGINAL COLLEGE,295 MANNING ROAD,WATERFORD,WA,6152,295 MANNING ROAD,WATERFORD,WA,6152,-32.01565323,115.8929678,08 9251 0666,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,177,72,696.0,,,
62,COCOS ISLANDS DISTRICT HIGH SCHOOL,LOT 169 AIRFORCE ROAD,COCOS ISLAND,WA,6799,PO BOX 1095,COCOS ISLAND,WA,6799,-12.188,96.8288,08 9162 6650,NORTH METROPOLITAN,OFFSHORE & MIGRATORY,DISTRICT HIGH SCHOOLS,KIN,Y10,114,84,1037.0,,,
63,COLLIE SENIOR HIGH SCHOOL,WITTENOOM STREET,COLLIE,WA,6225,PO BOX 808,COLLIE,WA,6225,-33.36307,116.156535,08 9735 1200,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,524,79,931.0,,,
64,COMET BAY COLLEGE,2 ALLATOONA AVENUE,SECRET HARBOUR,WA,6173,PO BOX 7134,SECRET HARBOUR,WA,6173,-32.4158052,115.7629996,08 9553 8100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1772,82,1013.0,35.0,84.0,21.22
65,COMMUNICARE ACADEMY,11-13 ROYAL STREET,KENWICK,WA,6107,11-13 ROYAL STREET,KENWICK,WA,6107,-32.03746429,115.9676942,08 6350 1872,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,84,74,898.0,,,
66,COMO SECONDARY COLLEGE,20 BRUCE STREET,COMO,WA,6152,20 BRUCE STREET,COMO,WA,6152,-32.00366439,115.8711551,08 9365 2000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,867,95,1074.0,87.0,75.7,61.11
67,COODANUP COLLEGE,WANJEEP STREET,MANDURAH,WA,6210,WANJEEP STREET,MANDURAH,WA,6210,-32.54610231,115.7489824,08 9581 0900,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,799,,,,,
68,CORNERSTONE CHRISTIAN COLLEGE LTD,GRACE COURT,BUSSELTON,WA,6280,GRACE COURT,BUSSELTON,WA,6280,-33.67026207,115.3229807,08 9754 1144,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,442,,,,,
69,CORPUS CHRISTI COLLEGE,MURDOCH DRIVE,BATEMAN,WA,6150,MURDOCH DRIVE,BATEMAN,WA,6150,-32.05699614,115.8429056,08 6332 2500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1286,95,1098.0,28.0,84.95,61.4
70,CORRIGIN DISTRICT HIGH SCHOOL,53 LYNCH STREET,CORRIGIN,WA,6375,53 LYNCH STREET,CORRIGIN,WA,6375,-32.32675596,117.8771847,08 9063 2042,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,108,84,975.0,,,
71,COURT GRAMMAR SCHOOL,1 BISHOP ROAD,MUNDIJONG,WA,6123,1 BISHOP ROAD,MUNDIJONG,WA,6123,-32.26965841,115.9912806,08 9526 5000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,721,,,,,
72,CUNDERDIN DISTRICT HIGH SCHOOL,CUBBINE STREET,CUNDERDIN,WA,6407,CUBBINE STREET,CUNDERDIN,WA,6407,-31.65627,117.243877,08 9635 3300,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,166,83,952.0,,,
73,CYRIL JACKSON SENIOR CAMPUS,53 REID STREET,BASSENDEAN,WA,6054,PO BOX 108,BASSENDEAN,WA,6934,-31.91290966,115.9424646,08 9413 4700,NORTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,403,Not Rated,985.0,,,
74,DALE CHRISTIAN SCHOOL,150 FORREST ROAD,ARMADALE,WA,6112,150 FORREST ROAD,ARMADALE,WA,6112,-32.15932611,115.9987357,08 9497 1444,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,624,85,1014.0,,,
75,DALWALLINU DISTRICT HIGH SCHOOL,97 JOHNSTON STREET,DALWALLINU,WA,6609,97 JOHNSTON STREET,DALWALLINU,WA,6609,-30.2704732,116.6610879,08 6661 1500,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,205,78,964.0,,,
76,DALYELLUP COLLEGE,WAKE DRIVE,DALYELLUP,WA,6230,PO BOX 1096,BUNBURY,WA,6231,-33.40385496,115.6257673,08 9797 9200,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,754,80,981.0,,,
77,DARLING RANGE SPORTS COLLEGE,117 BERKSHIRE ROAD,FORRESTFIELD,WA,6058,117 BERKSHIRE ROAD,FORRESTFIELD,WA,6058,-31.97566063,116.0108597,08 9453 0100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,994,83,976.0,137.0,52.4,34.11
78,DENMARK SENIOR HIGH SCHOOL,956 SOUTH COAST HIGHWAY,DENMARK,WA,6333,956 SOUTH COAST HIGHWAY,DENMARK,WA,6333,-34.95741408,117.3645842,08 9848 0100,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,427,93,1038.0,73.0,78.9,42.55
