,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,% students with ATAR
238,ROCKINGHAM MONTESSORI SCHOOL,7 ATTWOOD WAY,ROCKINGHAM,WA,6168,7 ATTWOOD WAY,ROCKINGHAM,WA,6168,-32.27658489,115.736737,08 9528 2118,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,275,81,1061.0,,,
239,ROCKINGHAM SENIOR HIGH SCHOOL,15 READ STREET,ROCKINGHAM,WA,6168,PO BOX 786,ROCKINGHAM,WA,6968,-32.28495172,115.7355203,08 9527 0300,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,965,,,,,
240,ROEBOURNE DISTRICT HIGH SCHOOL,FRASER STREET,ROEBOURNE,WA,6718,PO BOX 186,ROEBOURNE,WA,6718,-20.76855012,117.14215,08 9182 3300,PILBARA,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,135,72,597.0,,,
241,ROLEYSTONE COMMUNITY COLLEGE,90 RAEBURN ROAD,ROLEYSTONE,WA,6111,90 RAEBURN ROAD,ROLEYSTONE,WA,6111,-32.10331975,116.0846169,08 9391 6222,SOUTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,842,86,1039.0,,,
242,ROSSMOYNE SENIOR HIGH SCHOOL,1 KEITH ROAD,ROSSMOYNE,WA,6148,1 KEITH ROAD,ROSSMOYNE,WA,6148,-32.04626472,115.8705457,08 9235 1600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2311,100,1121.0,16.0,88.4,74.46
243,SACRED HEART COLLEGE,15 HOCKING PARADE,SORRENTO,WA,6020,15 HOCKING PARADE,SORRENTO,WA,6020,-31.82737166,115.74657,08 9246 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1425,95,1109.0,19.0,87.6,64.19
244,SAFETY BAY SENIOR HIGH SCHOOL,80 MALIBU ROAD,SAFETY BAY,WA,6169,PO BOX 6122,WAIKIKI,WA,6169,-32.30328609,115.7409641,08 9527 0200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1153,,,136.0,58.75,20.0
245,SANTA MARIA COLLEGE,STONEHAM ROAD,ATTADALE,WA,6156,STONEHAM ROAD,ATTADALE,WA,6156,-32.018614,115.795823,08 6330 0200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y05,Y12,1297,97,1117.0,10.0,89.35,68.18
246,SCHOOL OF ISOLATED AND DISTANCE EDUCATION,164-194 OXFORD STREET,LEEDERVILLE,WA,6007,PO BOX 455,LEEDERVILLE,WA,6903,-31.93553952,115.8419534,08 9311 1400,NORTH METROPOLITAN,Distance Education,K-12 SCHOOLS,KIN,Y12,404,,,,,
247,SCOTCH COLLEGE,76 SHENTON ROAD,SWANBOURNE,WA,6010,76 SHENTON ROAD,SWANBOURNE,WA,6010,-31.98113329,115.7731945,08 9383 6800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1418,97,1165.0,24.0,85.35,74.29
248,SERVITE COLLEGE,134 CAPE STREET,TUART HILL,WA,6060,134 CAPE STREET,TUART HILL,WA,6060,-31.90270449,115.8336415,08 9444 6333,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1009,89,1032.0,65.0,80.0,44.08
249,SETON CATHOLIC COLLEGE,MARCHANT ROAD,SAMSON,WA,6163,MARCHANT ROAD,SAMSON,WA,6163,-32.07269529,115.7933707,08 9331 9600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,993,89,1038.0,91.0,75.35,39.22
250,SEVENOAKS SENIOR COLLEGE,275 SEVENOAKS STREET,CANNINGTON,WA,6107,275 SEVENOAKS STREET,CANNINGTON,WA,6107,-32.01247925,115.9423052,08 6235 7200,SOUTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,445,Not Rated,976.0,114.0,68.95,23.75
251,SHENTON COLLEGE,227 STUBBS TERRACE,SHENTON PARK,WA,6008,227 STUBBS TERRACE,SHENTON PARK,WA,6008,-31.95969986,115.803008,08 9366 9100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2404,99,1159.0,14.0,88.6,71.72
252,SOUTH COAST BAPTIST COLLEGE,30 GNANGARA DRIVE,WAIKIKI,WA,6169,30 GNANGARA DRIVE,WAIKIKI,WA,6169,-32.31535966,115.7575046,08 9540 4400,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1009,,,,,
253,SOUTH METROPOLITAN YOUTH LINK COMMUNITY COLLEGE,32 TESLA ROAD,ROCKINGHAM,WA,6168,32 TESLA ROAD,ROCKINGHAM,WA,6168,-32.27298182,115.7542075,08 9550 9400,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,524,,,,,
254,SOUTH WEST JOHN CALVIN CHRISTIAN COLLEGE,2 WIDDESON ROAD,CAPEL,WA,6271,2 WIDDESON ROAD,CAPEL,WA,6271,-33.54326,115.565416,08 9726 2038,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,92,,,,,
255,SOUTHERN CROSS DISTRICT HIGH SCHOOL,ANTARES STREET,SOUTHERN CROSS,WA,6426,ANTARES STREET,SOUTHERN CROSS,WA,6426,-31.23119646,119.3268575,08 9048 9000,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,56,Not Rated,930.0,,,
256,SOUTHERN HILLS CHRISTIAN COLLEGE,86 ADMIRAL ROAD,BEDFORDALE,WA,6112,86 ADMIRAL ROAD,BEDFORDALE,WA,6112,-32.1816559,116.0483177,08 9497 1751,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,338,87,1038.0,,,
257,SOUTHERN RIVER COLLEGE,SOUTHERN RIVER ROAD,GOSNELLS,WA,6110,SOUTHERN RIVER ROAD,GOSNELLS,WA,6110,-32.08559751,115.979918,08 9495 3200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,937,75,937.0,121.0,66.0,20.35
258,SOWILO COMMUNITY HIGH SCHOOL,UNIT 1/2 GILLAM DRIVE,KELMSCOTT,WA,6111,UNIT 1/2 GILLAM DRIVE,KELMSCOTT,WA,6111,-32.13104805,116.0098146,08 9390 1995,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,89,73,955.0,,,
259,ST ANDREW'S GRAMMAR,2 HELLENIC DRIVE,DIANELLA,WA,6059,2 HELLENIC DRIVE,DIANELLA,WA,6059,-31.87118268,115.8741054,08 9376 5850,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,475,97,1078.0,,,
260,ST BRIGID'S COLLEGE,200 LESMURDIE ROAD,LESMURDIE,WA,6076,200 LESMURDIE ROAD,LESMURDIE,WA,6076,-31.99663035,116.0520664,08 9290 4200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,905,92,1048.0,99.0,73.85,59.22
261,ST CLARE'S SCHOOL,14-16 MCCARTNEY CRESCENT,LATHLAIN,WA,6100,14-16 MCCARTNEY CRESCENT,LATHLAIN,WA,6100,-31.9711354,115.9086158,08 9366 7500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,40,Not Rated,960.0,,,
262,ST FRANCIS' SCHOOL,10 ALLOA ROAD,MADDINGTON,WA,6109,10 ALLOA ROAD,MADDINGTON,WA,6109,-32.04608954,115.9843375,08 9262 4421,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y10,Y12,35,Not Rated,962.0,,,
263,ST GEORGE'S ANGLICAN GRAMMAR SCHOOL,50 WILLIAM STREET,PERTH,WA,6000,50 WILLIAM STREET,PERTH,WA,6000,-31.95409073,115.8570957,08 9312 0800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,370,98,1148.0,,,
264,ST HILDA'S ANGLICAN SCHOOL FOR GIRLS,BAY VIEW TERRACE,MOSMAN PARK,WA,6012,BAY VIEW TERRACE,MOSMAN PARK,WA,6012,-32.005047,115.767812,08 9285 4100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1109,100,1197.0,2.0,92.7,91.16
265,ST JAMES' ANGLICAN SCHOOL,2 GRACEFUL BOULEVARD,ALKIMOS,WA,6038,2 GRACEFUL BOULEVARD,ALKIMOS,WA,6038,-31.618541,115.68637,08 6336 8330,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y11,716,92,1068.0,,,
266,ST JOSEPH'S COLLEGE,MARTIN ROAD,ALBANY,WA,6330,MARTIN ROAD,ALBANY,WA,6330,-34.997944,117.902192,08 9844 0222,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,627,87,1033.0,,,
267,ST JOSEPH'S SCHOOL,1 LANCE STREET,NORTHAM,WA,6401,1 LANCE STREET,NORTHAM,WA,6401,-31.65767596,116.6782822,08 9621 3500,WHEATBELT,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,732,89,1032.0,,,
268,ST LUKE'S COLLEGE,ROSEMARY ROAD,KARRATHA,WA,6714,ROSEMARY ROAD,KARRATHA,WA,6714,-20.75172597,116.8174458,08 9144 1081,PILBARA,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,364,87,1034.0,,,
269,ST MARK'S ANGLICAN COMMUNITY SCHOOL,ST MARKS DRIVE,HILLARYS,WA,6025,PO BOX 231,HILLARYS,WA,6923,-31.79848743,115.7428728,08 9403 1300,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1722,96,1119.0,58.0,80.8,73.38
270,ST MARTIN DE PORRES SCHOOL,154 FREDERICK STREET,DJUGUN,WA,6725,154 FREDERICK STREET,DJUGUN,WA,6725,-17.954391,122.224409,08 9195 4200,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y10,Y10,1,,,,,
271,ST MARY MACKILLOP COLLEGE,MACKILLOP AVENUE,BUSSELTON,WA,6280,MACKILLOP AVENUE,BUSSELTON,WA,6280,-33.66260748,115.3302509,08 9752 7400,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1458,92,1045.0,70.0,79.3,52.58
272,ST MARY STAR OF THE SEA CATHOLIC SCHOOL,JOHNSTON STREET,CARNARVON,WA,6701,JOHNSTON STREET,CARNARVON,WA,6701,-24.88555971,113.6586924,08 9941 1328,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,323,88,996.0,,,
273,ST MARY'S ANGLICAN GIRLS' SCHOOL,75 ELLIOTT ROAD,KARRINYUP,WA,6018,75 ELLIOTT ROAD,KARRINYUP,WA,6018,-31.87697112,115.766244,08 9341 9111,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1452,100,1158.0,7.0,90.3,83.66
274,ST MARY'S COLLEGE,3 PORT DRIVE,BROOME,WA,6725,3 PORT DRIVE,BROOME,WA,6725,-17.96107323,122.222487,08 9194 9500,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,782,76,889.0,,,
275,ST NORBERT COLLEGE,135 TREASURE ROAD,QUEENS PARK,WA,6107,135 TREASURE ROAD,QUEENS PARK,WA,6107,-32.00436432,115.9403443,08 9350 5433,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,913,92,1044.0,42.0,83.0,31.62
276,ST STEPHEN'S SCHOOL,100 DOVERIDGE DRIVE,DUNCRAIG,WA,6023,100 DOVERIDGE DRIVE,DUNCRAIG,WA,6023,-31.8192748,115.7806424,08 9243 2100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,2034,95,1118.0,31.0,84.75,55.15
277,STRATHALBYN CHRISTIAN COLLEGE,15 CEDAR CRESCENT,STRATHALBYN,WA,6530,15 CEDAR CRESCENT,STRATHALBYN,WA,6530,-28.75198509,114.6442673,08 9938 9100 ,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,377,89,1026.0,,,
278,STRELLEY COMMUNITY SCHOOL,WARRALONG STATION,VIA PORT HEDLAND,WA,6721,LOCKED BAG 188,PORT HEDLAND,WA,6721,-20.43710217,118.988487,08 9176 4925,PILBARA,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,60,Not Rated,754.0,,,
279,SWAN CHRISTIAN COLLEGE,381 GREAT NORTHERN HIGHWAY,MIDDLE SWAN,WA,6056,381 GREAT NORTHERN HIGHWAY,MIDDLE SWAN,WA,6056,-31.85830659,116.0117533,08 9374 8300,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1482,93,1064.0,93.0,74.65,39.26
280,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,SWANLEIGH PARADE,AVELEY,WA,6069,SWANLEIGH PARADE,AVELEY,WA,6069,-31.79434482,115.9854516,08 9297 9506,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1148,90,1045.0,53.0,81.25,50.0
281,SWAN VIEW SENIOR HIGH SCHOOL,GLADSTONE AVENUE,SWAN VIEW,WA,6056,GLADSTONE AVENUE,SWAN VIEW,WA,6056,-31.8874797,116.0443339,08 9294 6100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,642,77,922.0,,,
282,TELETHON SPEECH & HEARING,36 DODD STREET,WEMBLEY,WA,6014,36 DODD STREET,WEMBLEY,WA,6014,-31.92384064,115.8231847,08 9387 9888,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,65,,,,,
283,THE BEEHIVE MONTESSORI SCHOOL INC,CURTIN AVENUE,MOSMAN PARK,WA,6012,CURTIN AVENUE,MOSMAN PARK,WA,6012,-32.01798492,115.7522159,08 9383 1283,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,201,,,,,
284,THE KING'S COLLEGE,170 BERTRAM ROAD,WELLARD,WA,6170,170 BERTRAM ROAD,WELLARD,WA,6170,-32.25439916,115.839073,08 9411 4100,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,589,81,1025.0,,,
285,THE MONTESSORI SCHOOL,18 MONTESSORI PLACE,KINGSLEY,WA,6026,18 MONTESSORI PLACE,KINGSLEY,WA,6026,-31.81228862,115.8077784,08 9409 9151,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,154,Not Rated,1109.0,,,
286,THORNLIE SENIOR HIGH SCHOOL,2 OVENS ROAD,THORNLIE,WA,6108,2 OVENS ROAD,THORNLIE,WA,6108,-32.06627622,115.959641,08 9376 2100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1164,81,976.0,125.0,65.35,17.81
287,TOM PRICE SENIOR HIGH SCHOOL,MILPERA STREET,TOM PRICE,WA,6751,MILPERA STREET,TOM PRICE,WA,6751,-22.68733347,117.7946827,08 9188 3650,PILBARA,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,280,79,928.0,,,
288,TOODYAY DISTRICT HIGH SCHOOL,DRUMMOND STREET EAST,TOODYAY,WA,6566,PO BOX 75,TOODYAY,WA,6566,-31.54802031,116.4726619,08 9578 2000,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,321,81,959.0,,,
289,TRANBY COLLEGE,17 TRANBY DRIVE,BALDIVIS,WA,6171,17 TRANBY DRIVE,BALDIVIS,WA,6171,-32.3405703,115.8002428,08 9524 2424,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,711,90,1066.0,62.0,80.3,42.19
290,TREETOPS MONTESSORI SCHOOL,12 BEENONG ROAD,DARLINGTON,WA,6070,12 BEENONG ROAD,DARLINGTON,WA,6070,-31.92002226,116.074229,08 9299 6725,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,119,86,1074.0,,,
291,TRINITY COLLEGE,2 TRINITY AVENUE,EAST PERTH,WA,6004,2 TRINITY AVENUE,EAST PERTH,WA,6004,-31.96013472,115.8825766,08 9223 8133,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y04,Y12,1216,96,1113.0,43.0,82.85,66.18
292,URSULA FRAYNE CATHOLIC COLLEGE,15 DUNCAN STREET,VICTORIA PARK,WA,6100,15 DUNCAN STREET,VICTORIA PARK,WA,6100,-31.97297817,115.8990335,08 9470 0900,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1406,95,1097.0,41.0,83.15,71.3
293,WAGIN DISTRICT HIGH SCHOOL,10 RANFORD STREET,WAGIN,WA,6315,10 RANFORD STREET,WAGIN,WA,6315,-33.31189146,117.3404578,08 9861 3200,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,246,75,962.0,,,
294,WANNEROO SECONDARY COLLEGE,56 QUARKUM STREET,WANNEROO,WA,6065,56 QUARKUM STREET,WANNEROO,WA,6065,-31.7578766,115.8151333,08 6401 9800,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1176,,,131.0,63.35,18.24
295,WARNBRO COMMUNITY HIGH SCHOOL,2 SWALLOWTAIL PARADE,WARNBRO,WA,6169,2 SWALLOWTAIL PARADE,WARNBRO,WA,6169,-32.34556923,115.7590964,08 9553 0100 ,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,902,,,,,
296,WAROONA DISTRICT HIGH SCHOOL,55 MILLAR STREET,WAROONA,WA,6215,PO BOX 220,WAROONA,WA,6215,-32.84501404,115.9294134,08 9782 7000,SOUTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,250,76,893.0,,,
297,WARWICK SENIOR HIGH SCHOOL,355 ERINDALE ROAD,WARWICK,WA,6024,355 ERINDALE ROAD,WARWICK,WA,6024,-31.83867535,115.8154291,08 6240 4400,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,699,84,972.0,,,
298,WESLEY COLLEGE,40 COODE STREET,SOUTH PERTH,WA,6151,40 COODE STREET,SOUTH PERTH,WA,6151,-31.97995555,115.865934,08 9368 8000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1244,98,1143.0,37.0,83.9,82.64
299,WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - CUNDERDIN,267 CUNDERDIN-WYALKATCHEM ROAD,CUNDERDIN,WA,6407,PO BOX 132,CUNDERDIN,WA,6407,-31.626847,117.230704,08 9635 2100,WHEATBELT,Agricultural Colleges,SECONDARY SCHOOLS,Y11,Y12,134,,,,,
300,WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - DENMARK,SOUTH COAST HIGHWAY,DENMARK,WA,6333,PO BOX 350,DENMARK,WA,6333,-34.94864439,117.373081,08 9848 0200,SOUTH WEST,Agricultural Colleges,SECONDARY SCHOOLS,Y10,Y12,136,,,,,
301,WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - HARVEY,MORNINGTON ROAD,WOKALUP,WA,6221,PO BOX 496,HARVEY,WA,6220,-33.14579679,115.8794784,08 9782 2100,SOUTH WEST,Agricultural Colleges,SECONDARY SCHOOLS,Y10,Y12,168,,,,,
302,WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - MORAWA,WADDILOVE ROAD,MORAWA,WA,6623,PO BOX 15,MORAWA,WA,6623,-29.21120145,116.0059133,08 9971 1158,MIDWEST,Agricultural Colleges,SECONDARY SCHOOLS,Y10,Y12,51,,,,,
303,WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - NARROGIN,216 COORAMINNING ROAD,NARROGIN,WA,6312,PO BOX 38,NARROGIN,WA,6312,-32.97365856,117.1172635,08 9881 9700,WHEATBELT,Agricultural Colleges,SECONDARY SCHOOLS,Y10,Y12,125,,,,,
304,WILLETTON SENIOR HIGH SCHOOL,PINETREE GULLY ROAD,WILLETTON,WA,6155,PINETREE GULLY ROAD,WILLETTON,WA,6155,-32.06131317,115.8792246,08 9334 7200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2539,99,1117.0,18.0,87.75,70.48
305,WONGAN HILLS DISTRICT HIGH SCHOOL,QUINLAN STREET,WONGAN HILLS,WA,6603,QUINLAN STREET,WONGAN HILLS,WA,6603,-30.8905344,116.7213344,08 9671 2300,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,186,78,959.0,,,
306,WONGUTHA CHRISTIAN ABORIGINAL PARENT-DIRECTED SCHOOL,GIBSON ROAD EAST,GIBSON,WA,6448,GIBSON ROAD EAST,GIBSON,WA,6448,-33.658921,121.874743,08 9075 4011,GOLDFIELDS,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y11,Y12,63,Not Rated,,,,
307,WOODVALE SECONDARY COLLEGE,110 WOODVALE DRIVE,WOODVALE,WA,6026,110 WOODVALE DRIVE,WOODVALE,WA,6026,-31.79154969,115.7994712,08 9309 0808,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1436,92,1064.0,77.0,77.65,47.39
308,WULUNGARRA COMMUNITY SCHOOL,MILLIJIDEE STATION,FITZROY CROSSING,WA,6765,MILLIJIDEE STATION,FITZROY CROSSING,WA,6765,-18.825259,124.941733,08 9191 7402,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,27,,,,,
309,WYALKATCHEM DISTRICT HIGH SCHOOL,HONOUR AVENUE,WYALKATCHEM,WA,6485,HONOUR AVENUE,WYALKATCHEM,WA,6485,-31.1738,117.385581,08 9692 1500,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,62,Not Rated,902.0,,,
310,WYNDHAM DISTRICT HIGH SCHOOL,COVERLEY STREET,WYNDHAM,WA,6740,PO BOX 21,WYNDHAM,WA,6740,-15.48878706,128.1212215,08 9161 1063,KIMBERLEY,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,102,73,700.0,,,
311,YAKANARRA COMMUNITY SCHOOL,YAKANARRA COMMUNITY MANGUNAMPI ROAD,YAKANARRA,WA,6765,YAKANARRA COMMUNITY MANGUNAMPI ROAD,YAKANARRA,WA,6765,-18.671644,125.298823,08 9191 7164,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,31,Not Rated,,,,
312,YANCHEP SECONDARY COLLEGE,21 RAVENSBOURNE STREET,YANCHEP,WA,6035,21 RAVENSBOURNE STREET,YANCHEP,WA,6035,-31.552523,115.643429,08 9562 8000 ,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,718,79,978.0,,,
313,YIRAMALAY/WESLEY STUDIO SCHOOL,LEOPOLD DOWNS CATTLE STATION,VIA FITZROY CROSSING,WA,6765,LEOPOLD DOWNS CATTLE STATION,VIA FITZROY CROSSING,WA,6765,-18.193564,125.567949,03 8102 6000,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y10,Y12,46,Not Rated,,,,
314,YIYILI ABORIGINAL COMMUNITY SCHOOL,"LOT 1 EDUCATION STREET, YIYILI COMMUNITY",VIA HALLS CREEK,WA,6770,"LOT 1 EDUCATION STREET, YIYILI COMMUNITY",VIA HALLS CREEK,WA,6770,-18.718867,126.754211,08 9191 7195,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,60,Not Rated,,,,
315,YORK DISTRICT HIGH SCHOOL,2 TREWS ROAD,YORK,WA,6302,2 TREWS ROAD,YORK,WA,6302,-31.89178422,116.7589984,08 9641 3100,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,411,74,918.0,,,
316,YOUTH FUTURES COMMUNITY SCHOOL,1 CALE STREET,MIDLAND,WA,6056,1 CALE STREET,MIDLAND,WA,6056,-31.89226285,116.0066971,08 9250 6222,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,86,,,,,
317,YOUTH FUTURES COMMUNITY SCHOOL,59 KEY LARGO DRIVE,CLARKSON,WA,6030,59 KEY LARGO DRIVE,CLARKSON,WA,6030,-31.69110006,115.7198502,08 9407 9099,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y09,Y12,220,,,,,
318,YULE BROOK COLLEGE,61 DELLAR ROAD,MADDINGTON,WA,6109,61 DELLAR ROAD,MADDINGTON,WA,6109,-32.04732734,116.0064617,08 9251 8333,SOUTH METROPOLITAN,High Schools,SECONDARY SCHOOLS,Y07,Y10,289,74,865.0,,,
